transport subsector share-weights,,,,,,,,,,,,,,,,,,,,,,,,,
"Ref,date=2022-19-4T07:20:42-07:00",Bangkok,trn_pass_road_LDV_4W,Mini Car,0.0286963,0.0316793,0.0358108,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,0.03576,none
"Ref,date=2022-19-4T07:20:42-07:00",Bangkok,trn_shipping_intl,International Ship,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_aviation_intl,International Aviation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_freight,Domestic Ship,8.78E-04,8.57E-05,1.75E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_freight,Freight Rail,7.18E-04,7.88E-04,0.00118872,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,0.00134223,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_freight,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_freight_road,Heavy truck,0.198666,0.199925,0.203944,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,0.204925,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_freight_road,Light truck,0.12245,0.109414,0.10866,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,0.108464,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_freight_road,Medium truck,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass,Cycle,0.0354389,0.0360917,0.0430467,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,0.041266,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass,Domestic Aviation,0.00911847,0.00802245,0.00560011,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,0.00479205,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass,HSR,0,0,0,0,5.88E-05,1.18E-04,1.76E-04,2.35E-04,2.94E-04,3.53E-04,4.12E-04,4.71E-04,5.29E-04,5.88E-04,6.47E-04,7.06E-04,7.65E-04,8.24E-04,8.82E-04,9.41E-04,0.001,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass,Passenger Rail,0.00204643,0.00405873,0.00367088,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,0.00374413,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass,Walk,0.327476,0.332831,0.396654,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,0.380648,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass_road,Bus,1,1.16557,1.43014,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,1.52571,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass_road,LDV,0.993771,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass_road_LDV,2W and 3W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass_road_LDV,4W,14.5387,6.25055,4.34391,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,3.8041,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass_road_LDV_4W,Car,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,0.676171,0.561127,0.424782,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,0.36047,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_pass_road_LDV_4W,Mini Car,0.0286962,0.0316813,0.0358104,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,0.0357808,none
"Ref,date=2022-19-4T07:20:42-07:00",Nonthaburi,trn_shipping_intl,International Ship,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_aviation_intl,International Aviation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_freight,Domestic Ship,8.79E-04,8.57E-05,1.75E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,3.36E-04,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_freight,Freight Rail,7.19E-04,7.88E-04,0.00118876,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,0.00134249,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_freight,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_freight_road,Heavy truck,0.198663,0.199932,0.20394,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,0.204924,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_freight_road,Light truck,0.122471,0.109424,0.108662,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,0.108475,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_freight_road,Medium truck,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass,Cycle,0.0263582,0.0276859,0.0345889,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,0.0283682,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass,Domestic Aviation,0.0111073,0.0100385,0.00727784,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,0.0077138,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass,HSR,0,0,0,0,5.88E-05,1.18E-04,1.76E-04,2.35E-04,2.94E-04,3.53E-04,4.12E-04,4.71E-04,5.29E-04,5.88E-04,6.47E-04,7.06E-04,7.65E-04,8.24E-04,8.82E-04,9.41E-04,0.001,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass,Passenger Rail,0.00190417,0.00391416,0.00355955,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,0.00353188,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass,Walk,0.243097,0.255353,0.319014,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,0.261647,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass_road,Bus,1,0.978517,1.17638,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,1.06741,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass_road,LDV,1.23577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass_road_LDV,2W and 3W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,none
"Ref,date=2022-19-4T07:20:42-07:00",Rest of Thailand,trn_pass_road_LDV,4W,19.6716,8.41429,5.84699,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,6.52779,none
