# Copied from parent region
region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2010,non-energy,0.4223,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2010,non-energy,0.4223,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2010,non-energy,0.4223,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2015,non-energy,0.4247,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2015,non-energy,0.4247,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2015,non-energy,0.4247,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2015,non-energy,0.4247,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2020,non-energy,0.4263,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2020,non-energy,0.4263,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2020,non-energy,0.4263,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2020,non-energy,0.4263,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2025,non-energy,0.3973,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2025,non-energy,0.3973,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2025,non-energy,0.3973,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2025,non-energy,0.3973,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2030,non-energy,0.3786,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2030,non-energy,0.3786,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2030,non-energy,0.3786,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2030,non-energy,0.3786,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2035,non-energy,0.3604,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2035,non-energy,0.3604,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2035,non-energy,0.3604,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2035,non-energy,0.3604,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2040,non-energy,0.3475,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2040,non-energy,0.3475,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2040,non-energy,0.3475,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2040,non-energy,0.3475,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2045,non-energy,0.3376,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2045,non-energy,0.3376,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2045,non-energy,0.3376,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2045,non-energy,0.3376,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2050,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2050,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2050,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2050,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2055,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2055,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2055,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2055,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2060,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2060,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2060,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2060,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2065,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2065,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2065,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2065,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2070,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2070,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2070,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2070,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2075,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2075,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2075,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2075,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2080,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2080,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2080,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2080,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2085,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2085,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2085,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2085,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2090,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2090,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2090,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2090,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2095,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2095,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2095,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2095,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Car,FCEV,2100,non-energy,0.3304,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,FCEV,2100,non-energy,0.3304,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,FCEV,2100,non-energy,0.3304,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,FCEV,2100,non-energy,0.3304,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,1975,non-energy,1.9469,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,1975,non-energy,1.9469,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,1975,non-energy,1.9469,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,1975,non-energy,1.9469,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,1990,non-energy,1.9469,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,1990,non-energy,1.9469,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,1990,non-energy,1.9469,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,1990,non-energy,1.9469,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2005,non-energy,0.6778,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2005,non-energy,0.6778,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2005,non-energy,0.6778,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2005,non-energy,0.6778,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2010,non-energy,0.6819,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2010,non-energy,0.6819,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2010,non-energy,0.6819,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2010,non-energy,0.6819,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2015,non-energy,0.686,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2015,non-energy,0.686,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2015,non-energy,0.686,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2015,non-energy,0.686,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2020,non-energy,0.6889,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2020,non-energy,0.6889,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2020,non-energy,0.6889,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2020,non-energy,0.6889,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,non-energy,0.638,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,non-energy,0.638,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,non-energy,0.638,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,non-energy,0.638,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2030,non-energy,0.6051,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2030,non-energy,0.6051,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2030,non-energy,0.6051,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2030,non-energy,0.6051,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2035,non-energy,0.5729,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2035,non-energy,0.5729,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2035,non-energy,0.5729,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2035,non-energy,0.5729,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2040,non-energy,0.5503,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2040,non-energy,0.5503,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2040,non-energy,0.5503,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2040,non-energy,0.5503,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2045,non-energy,0.5329,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2045,non-energy,0.5329,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2045,non-energy,0.5329,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2045,non-energy,0.5329,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2050,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2050,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2050,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2050,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2055,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2055,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2055,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2055,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2060,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2060,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2060,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2060,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2065,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2065,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2065,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2065,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2070,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2070,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2070,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2070,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2075,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2075,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2075,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2075,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2080,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2080,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2080,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2080,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2085,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2085,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2085,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2085,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2090,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2090,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2090,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2090,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2095,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2095,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2095,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2095,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2100,non-energy,0.5202,CORE
Nonthaburi,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2100,non-energy,0.5202,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2100,non-energy,0.5202,CORE
SamutPrakan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2100,non-energy,0.5202,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,non-energy,0.6856,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,non-energy,0.6856,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,non-energy,0.6856,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,non-energy,0.6856,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,1990,non-energy,0.6856,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,1990,non-energy,0.6856,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,1990,non-energy,0.6856,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,1990,non-energy,0.6856,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2005,non-energy,0.228,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2005,non-energy,0.228,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2005,non-energy,0.228,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2005,non-energy,0.228,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2010,non-energy,0.2291,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2010,non-energy,0.2291,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2010,non-energy,0.2291,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2010,non-energy,0.2291,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2015,non-energy,0.2301,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2015,non-energy,0.2301,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2015,non-energy,0.2301,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2015,non-energy,0.2301,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2020,non-energy,0.2308,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2020,non-energy,0.2308,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2020,non-energy,0.2308,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2020,non-energy,0.2308,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2025,non-energy,0.2186,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2025,non-energy,0.2186,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2025,non-energy,0.2186,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2025,non-energy,0.2186,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2030,non-energy,0.2108,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2030,non-energy,0.2108,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2030,non-energy,0.2108,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2030,non-energy,0.2108,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2035,non-energy,0.2031,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2035,non-energy,0.2031,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2035,non-energy,0.2031,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2035,non-energy,0.2031,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2040,non-energy,0.1977,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2040,non-energy,0.1977,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2040,non-energy,0.1977,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2040,non-energy,0.1977,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2045,non-energy,0.1936,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2045,non-energy,0.1936,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2045,non-energy,0.1936,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2045,non-energy,0.1936,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2050,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2050,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2050,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2050,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2055,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2055,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2055,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2055,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2060,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2060,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2060,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2060,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2065,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2065,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2065,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2065,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2070,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2070,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2070,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2070,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2075,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2075,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2075,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2075,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2080,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2080,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2080,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2080,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2085,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2085,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2085,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2085,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2090,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2090,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2090,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2090,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2095,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2095,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2095,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2095,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Mini Car,FCEV,2100,non-energy,0.1906,CORE
Nonthaburi,trn_pass_road_LDV_4W,Mini Car,FCEV,2100,non-energy,0.1906,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Mini Car,FCEV,2100,non-energy,0.1906,CORE
SamutPrakan,trn_pass_road_LDV_4W,Mini Car,FCEV,2100,non-energy,0.1906,CORE
Bangkok,trn_pass_road_LDV_4W,Car,Hybrid Liquids,1975,non-energy,0.2096,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,Hybrid Liquids,1975,non-energy,0.2096,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,1975,non-energy,0.2096,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,Hybrid Liquids,1975,non-energy,0.2096,CORE
Bangkok,trn_pass_road_LDV_4W,Car,Hybrid Liquids,1990,non-energy,0.2096,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,Hybrid Liquids,1990,non-energy,0.2096,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,1990,non-energy,0.2096,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,Hybrid Liquids,1990,non-energy,0.2096,CORE
Bangkok,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2005,non-energy,0.1563,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2005,non-energy,0.1563,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2005,non-energy,0.1563,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2005,non-energy,0.1563,CORE
Bangkok,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2010,non-energy,0.1544,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2010,non-energy,0.1544,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2010,non-energy,0.1544,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2010,non-energy,0.1544,CORE
Bangkok,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2015,non-energy,0.1527,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2015,non-energy,0.1527,CORE
Rest of Thailand,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2015,non-energy,0.1527,CORE
SamutPrakan,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2015,non-energy,0.1527,CORE
Bangkok,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2020,non-energy,0.1591,CORE
Nonthaburi,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2020,non-energy,0.1591,CORE
