# Copied from parent region
region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Bangkok,trn_freight_road,Heavy truck,BEV,2085,non-energy,0.6168,CORE
Nonthaburi,trn_freight_road,Heavy truck,BEV,2085,non-energy,0.6168,CORE
Rest of Thailand,trn_freight_road,Heavy truck,BEV,2085,non-energy,0.6168,CORE
SamutPrakan,trn_freight_road,Heavy truck,BEV,2085,non-energy,0.6168,CORE
Bangkok,trn_freight_road,Heavy truck,BEV,2090,non-energy,0.6168,CORE
Nonthaburi,trn_freight_road,Heavy truck,BEV,2090,non-energy,0.6168,CORE
Rest of Thailand,trn_freight_road,Heavy truck,BEV,2090,non-energy,0.6168,CORE
SamutPrakan,trn_freight_road,Heavy truck,BEV,2090,non-energy,0.6168,CORE
Bangkok,trn_freight_road,Heavy truck,BEV,2095,non-energy,0.6168,CORE
Nonthaburi,trn_freight_road,Heavy truck,BEV,2095,non-energy,0.6168,CORE
Rest of Thailand,trn_freight_road,Heavy truck,BEV,2095,non-energy,0.6168,CORE
SamutPrakan,trn_freight_road,Heavy truck,BEV,2095,non-energy,0.6168,CORE
Bangkok,trn_freight_road,Heavy truck,BEV,2100,non-energy,0.6168,CORE
Nonthaburi,trn_freight_road,Heavy truck,BEV,2100,non-energy,0.6168,CORE
Rest of Thailand,trn_freight_road,Heavy truck,BEV,2100,non-energy,0.6168,CORE
SamutPrakan,trn_freight_road,Heavy truck,BEV,2100,non-energy,0.6168,CORE
Bangkok,trn_freight_road,Light truck,BEV,1975,non-energy,0.4474,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,1975,non-energy,0.4474,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,1975,non-energy,0.4474,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,1975,non-energy,0.4474,CORE
Bangkok,trn_freight_road,Light truck,BEV,1990,non-energy,0.4474,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,1990,non-energy,0.4474,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,1990,non-energy,0.4474,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,1990,non-energy,0.4474,CORE
Bangkok,trn_freight_road,Light truck,BEV,2005,non-energy,0.4474,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2005,non-energy,0.4474,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2005,non-energy,0.4474,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2005,non-energy,0.4474,CORE
Bangkok,trn_freight_road,Light truck,BEV,2010,non-energy,0.3835,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2010,non-energy,0.3835,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2010,non-energy,0.3835,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2010,non-energy,0.3835,CORE
Bangkok,trn_freight_road,Light truck,BEV,2015,non-energy,0.3194,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2015,non-energy,0.3194,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2015,non-energy,0.3194,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2015,non-energy,0.3194,CORE
Bangkok,trn_freight_road,Light truck,BEV,2020,non-energy,0.2699,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2020,non-energy,0.2699,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2020,non-energy,0.2699,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2020,non-energy,0.2699,CORE
Bangkok,trn_freight_road,Light truck,BEV,2025,non-energy,0.2538,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2025,non-energy,0.2538,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2025,non-energy,0.2538,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2025,non-energy,0.2538,CORE
Bangkok,trn_freight_road,Light truck,BEV,2030,non-energy,0.2376,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2030,non-energy,0.2376,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2030,non-energy,0.2376,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2030,non-energy,0.2376,CORE
Bangkok,trn_freight_road,Light truck,BEV,2035,non-energy,0.2334,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2035,non-energy,0.2334,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2035,non-energy,0.2334,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2035,non-energy,0.2334,CORE
Bangkok,trn_freight_road,Light truck,BEV,2040,non-energy,0.2291,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2040,non-energy,0.2291,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2040,non-energy,0.2291,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2040,non-energy,0.2291,CORE
Bangkok,trn_freight_road,Light truck,BEV,2045,non-energy,0.2266,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2045,non-energy,0.2266,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2045,non-energy,0.2266,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2045,non-energy,0.2266,CORE
Bangkok,trn_freight_road,Light truck,BEV,2050,non-energy,0.224,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2050,non-energy,0.224,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2050,non-energy,0.224,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2050,non-energy,0.224,CORE
Bangkok,trn_freight_road,Light truck,BEV,2055,non-energy,0.2239,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2055,non-energy,0.2239,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2055,non-energy,0.2239,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2055,non-energy,0.2239,CORE
Bangkok,trn_freight_road,Light truck,BEV,2060,non-energy,0.2237,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2060,non-energy,0.2237,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2060,non-energy,0.2237,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2060,non-energy,0.2237,CORE
Bangkok,trn_freight_road,Light truck,BEV,2065,non-energy,0.2237,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2065,non-energy,0.2237,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2065,non-energy,0.2237,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2065,non-energy,0.2237,CORE
Bangkok,trn_freight_road,Light truck,BEV,2070,non-energy,0.2237,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2070,non-energy,0.2237,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2070,non-energy,0.2237,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2070,non-energy,0.2237,CORE
Bangkok,trn_freight_road,Light truck,BEV,2075,non-energy,0.2237,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2075,non-energy,0.2237,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2075,non-energy,0.2237,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2075,non-energy,0.2237,CORE
Bangkok,trn_freight_road,Light truck,BEV,2080,non-energy,0.2237,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2080,non-energy,0.2237,CORE
Rest of Thailand,trn_freight_road,Light truck,BEV,2080,non-energy,0.2237,CORE
SamutPrakan,trn_freight_road,Light truck,BEV,2080,non-energy,0.2237,CORE
Bangkok,trn_freight_road,Light truck,BEV,2085,non-energy,0.2237,CORE
Nonthaburi,trn_freight_road,Light truck,BEV,2085,non-energy,0.2237,CORE
