region,supplysector,tranSubsector,stub.technology,year,minicam.non.energy.input,input.cost,sce
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2050,non-energy,0.0355,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2055,non-energy,0.035,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2060,non-energy,0.0345,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2065,non-energy,0.034,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2070,non-energy,0.0336,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2075,non-energy,0.0331,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2080,non-energy,0.0326,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2085,non-energy,0.0321,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2090,non-energy,0.0316,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2095,non-energy,0.0312,CORE
Thailand,trn_pass_road_LDV,2W and 3W,BEV,2100,non-energy,0.0312,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,1975,non-energy,0.5448,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,1990,non-energy,0.5448,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2005,non-energy,0.3148,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2010,non-energy,0.2818,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2015,non-energy,0.2487,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2020,non-energy,0.2232,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2025,non-energy,0.2177,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2030,non-energy,0.2123,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2035,non-energy,0.2131,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2040,non-energy,0.2146,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2045,non-energy,0.2173,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2050,non-energy,0.22,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2055,non-energy,0.22,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2060,non-energy,0.2199,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2065,non-energy,0.2199,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2070,non-energy,0.2199,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2075,non-energy,0.2199,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2080,non-energy,0.2199,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2085,non-energy,0.2199,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2090,non-energy,0.2199,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2095,non-energy,0.2199,CORE
Thailand,trn_pass_road_LDV_4W,Car,BEV,2100,non-energy,0.2199,CORE
Thailand,trn_pass_road_LDV_4W,Large Car and Truck,BEV,1975,non-energy,1.1146,CORE
